Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QC","Crops","7","Angola","5312","Area harvested","656","Coffee, green","2018","2018","ha","52938","Im","FAO data based on imputation methodology"
"QC","Crops","7","Angola","5419","Yield","656","Coffee, green","2018","2018","hg/ha","3037","Fc","Calculated data"
"QC","Crops","7","Angola","5510","Production","656","Coffee, green","2018","2018","tonnes","16079","Im","FAO data based on imputation methodology"
"QC","Crops","23","Belize","5312","Area harvested","656","Coffee, green","2018","2018","ha","71","Im","FAO data based on imputation methodology"
"QC","Crops","23","Belize","5419","Yield","656","Coffee, green","2018","2018","hg/ha","12716","Fc","Calculated data"
"QC","Crops","23","Belize","5510","Production","656","Coffee, green","2018","2018","tonnes","90","Im","FAO data based on imputation methodology"
"QC","Crops","53","Benin","5312","Area harvested","656","Coffee, green","2018","2018","ha","284","Im","FAO data based on imputation methodology"
"QC","Crops","53","Benin","5419","Yield","656","Coffee, green","2018","2018","hg/ha","1801","Fc","Calculated data"
"QC","Crops","53","Benin","5510","Production","656","Coffee, green","2018","2018","tonnes","51","Im","FAO data based on imputation methodology"
"QC","Crops","19","Bolivia (Plurinational State of)","5312","Area harvested","656","Coffee, green","2018","2018","ha","24596","","Official data"
"QC","Crops","19","Bolivia (Plurinational State of)","5419","Yield","656","Coffee, green","2018","2018","hg/ha","8994","Fc","Calculated data"
"QC","Crops","19","Bolivia (Plurinational State of)","5510","Production","656","Coffee, green","2018","2018","tonnes","22121","","Official data"
"QC","Crops","21","Brazil","5312","Area harvested","656","Coffee, green","2018","2018","ha","1866225","","Official data"
"QC","Crops","21","Brazil","5419","Yield","656","Coffee, green","2018","2018","hg/ha","19058","Fc","Calculated data"
"QC","Crops","21","Brazil","5510","Production","656","Coffee, green","2018","2018","tonnes","3556638","","Official data"
"QC","Crops","29","Burundi","5312","Area harvested","656","Coffee, green","2018","2018","ha","14665","Im","FAO data based on imputation methodology"
"QC","Crops","29","Burundi","5419","Yield","656","Coffee, green","2018","2018","hg/ha","9694","Fc","Calculated data"
"QC","Crops","29","Burundi","5510","Production","656","Coffee, green","2018","2018","tonnes","14216","","Official data"
"QC","Crops","35","Cabo Verde","5312","Area harvested","656","Coffee, green","2018","2018","ha","170","Im","FAO data based on imputation methodology"
"QC","Crops","35","Cabo Verde","5419","Yield","656","Coffee, green","2018","2018","hg/ha","2074","Fc","Calculated data"
"QC","Crops","35","Cabo Verde","5510","Production","656","Coffee, green","2018","2018","tonnes","35","","Official data"
"QC","Crops","115","Cambodia","5312","Area harvested","656","Coffee, green","2018","2018","ha","476","Im","FAO data based on imputation methodology"
"QC","Crops","115","Cambodia","5419","Yield","656","Coffee, green","2018","2018","hg/ha","7995","Fc","Calculated data"
"QC","Crops","115","Cambodia","5510","Production","656","Coffee, green","2018","2018","tonnes","381","Im","FAO data based on imputation methodology"
"QC","Crops","32","Cameroon","5312","Area harvested","656","Coffee, green","2018","2018","ha","106155","Im","FAO data based on imputation methodology"
"QC","Crops","32","Cameroon","5419","Yield","656","Coffee, green","2018","2018","hg/ha","3124","Fc","Calculated data"
"QC","Crops","32","Cameroon","5510","Production","656","Coffee, green","2018","2018","tonnes","33164","Im","FAO data based on imputation methodology"
"QC","Crops","37","Central African Republic","5312","Area harvested","656","Coffee, green","2018","2018","ha","27226","Im","FAO data based on imputation methodology"
"QC","Crops","37","Central African Republic","5419","Yield","656","Coffee, green","2018","2018","hg/ha","3359","Fc","Calculated data"
"QC","Crops","37","Central African Republic","5510","Production","656","Coffee, green","2018","2018","tonnes","9145","Im","FAO data based on imputation methodology"
"QC","Crops","351","China","5312","Area harvested","656","Coffee, green","2018","2018","ha","33932","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","351","China","5419","Yield","656","Coffee, green","2018","2018","hg/ha","29569","Fc","Calculated data"
"QC","Crops","351","China","5510","Production","656","Coffee, green","2018","2018","tonnes","100332","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QC","Crops","41","China, mainland","5312","Area harvested","656","Coffee, green","2018","2018","ha","33932","Im","FAO data based on imputation methodology"
"QC","Crops","41","China, mainland","5419","Yield","656","Coffee, green","2018","2018","hg/ha","29569","Fc","Calculated data"
"QC","Crops","41","China, mainland","5510","Production","656","Coffee, green","2018","2018","tonnes","100332","Im","FAO data based on imputation methodology"
"QC","Crops","214","China, Taiwan Province of","5312","Area harvested","656","Coffee, green","2018","2018","ha","0","Im","FAO data based on imputation methodology"
"QC","Crops","214","China, Taiwan Province of","5510","Production","656","Coffee, green","2018","2018","tonnes","0","Im","FAO data based on imputation methodology"
"QC","Crops","44","Colombia","5312","Area harvested","656","Coffee, green","2018","2018","ha","776305","Im","FAO data based on imputation methodology"
"QC","Crops","44","Colombia","5419","Yield","656","Coffee, green","2018","2018","hg/ha","9283","Fc","Calculated data"
"QC","Crops","44","Colombia","5510","Production","656","Coffee, green","2018","2018","tonnes","720634","Im","FAO data based on imputation methodology"
"QC","Crops","45","Comoros","5312","Area harvested","656","Coffee, green","2018","2018","ha","1044","Im","FAO data based on imputation methodology"
