Mineral,States,Unit,Quantity 2010-11,Value 2010-11,Quantity 2011-12,Value 2011-12,Quantity 2012-13,Value 2012-13,Quantity 2013-14,Value 2013-14,Quantity 2014-15(P),Value 2014-15(P)
Coal,India,000tonne,532694,620210400,539950,701719100,556402,747186600,565765,825347500,610208,891754480
Coal,Andhra Pradesh,000tonne,51333,81106100,52211,90008100,53190,91695800,50469,73998000,0,0
Coal,Arunachal Pradesh,000tonne,299,1106000,221,1464100,73,483600,0,0,0,0
Coal,Assam,000tonne,1101,4072600,602,3988000,605,3591200,664,3392900,767,3919209
Coal,Chhattisgarh,000tonne,113824,58256200,113958,70740300,117830,90750700,127095,89275000,134396,94403380
Coal,Jammu & Kashmir,000tonne,24,22400,20,42500,19,40400,19,40400,16,34020
Coal,Jharkhand,000tonne,108949,185716200,109566,139887600,111274,175665400,113091,240509800,124747,265298572
Coal,Meghalaya,000tonne,6974,25796800,7206,47739800,5640,37365000,5732,37974500,5732,37974500
Coal,Madhya Pradesh,000tonne,71104,93673600,71123,83305500,75948,93737900,75590,111792700,85208,126017092
Coal,Maharashtra,000tonne,39336,53628800,39159,53112600,39134,62356800,37223,57363500,38622,59519475
Coal,Orissa,000tonne,102565,73545300,105476,96399000,110132,47256800,112917,150160600,122948,163500185
Coal,Uttar Pradesh,000tonne,15526,15122300,16178,34369500,16090,35844200,14721,20046100,15457,21048336
Coal,Telangana*,000tonne,NA,NA,NA,NA,NA,NA,NA,NA,52536,77028651
Coal,West Bengal,000tonne,21659,28164100,24230,80662100,26467,108398800,28244,40794000,29779,43011060
Lignite,India,000tonne,37733,43307200,42332,53376500,46453,55114100,44271,59675300,48292,64180851
Lignite,Gujarat,000tonne,13064,13480300,14779,15249900,14528,14990900,11588,12547100,12338,13359179
Lignite,Rajasthan,000tonne,1525,1071600,2963,1161800,7081,2776600,7627,5136100,9411,6337461
Lignite,Tamil Nadu,000tonne,23144,28755300,24590,36964800,24844,37346600,25056,41992100,26543,44484211
Natural Gas (ut.),India,m c m,52219,334253819,47559,342107011,40679,336420537,35407,292820422,32583,269465580
Natural Gas (ut.),Andhra Pradesh,m c m,1386,8871786,1363,9804492,1249,10329390,1171,9684320,519,4292199
Natural Gas (ut.),Arunachal Pradesh,m c m,44,281644,40,287733,41,339075,41,339075,12,99240
Natural Gas (ut.),Assam,m c m,2680,17154680,2905,20896589,2910,24066072,2868,23718727,2732,22593991
Natural Gas (ut.),Gujarat,m c m,2262,14479062,2173,15631080,2032,16804900,1657,13703602,1406,11627798
Natural Gas (ut.),Off-shore,m c m,43645,279371645,38475,276762910,31802,263006611,26396,218298299,24316,201096431
Natural Gas (ut.),Rajasthan,m c m,432,2765232,590,4244057,685,5665038,982,8121266,1082,8948279
Natural Gas (ut.),Tamil Nadu,m c m,1119,7162719,1285,9243414,1206,9973774,1304,10784247,1174,9709131
Natural Gas (ut.),Tripura,m c m,610,3904610,644,4632497,647,5350773,822,6798045,1061,8774605
Natural Gas (ut.),West Bengal,m c m,41,262441,84,604239,107,884904,166,1372841,281,2323906
Petroleum(crude),India,000tonne,37684,688041255,38090,692017330,37862,688171117,37788,686826110,37464,680937156
Petroleum(crude),Andhra Pradesh,000tonne,305,5568745,305,5541226,295,5361853,297,5398204,254,4616646
